Altium Designer Pick and Place Locations
C:\Users\awright\Desktop\FlightController\Project\FlightController\Project Outputs for FlightController\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       03/05/23
Time:       18:28
Revision:   f4a1800546de81564d53d36d28cfca0891c249c2
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                       
J2         TC2030-CTX-NL         TopLayer    FP-TC2030-CTX-NL-MFG          -7.0000mm    -0.5000mm    90       "6-Pin “No legs” TC2030 Plug-of-Nails™ Cable for use with ARM Cortex processors"                                                                  
U1         STM32F722RET6         TopLayer    FP-LQFP64-5W-IPC_A            15.5000mm    14.5000mm    180      "IC MCU 32BIT 512KB FLASH 64LQFP"                                                                                                                 
D?         BAT54C,215            TopLayer    FP-SOT23-MFG                  33.0000mm    17.0000mm    0        "DIODE ARRAY SCHOTTKY 30V SOT23"                                                                                                                  
C100nf_7   C0402C104K8PACTU      TopLayer    FP-C0402-BB-MFG               23.2500mm    16.5000mm    270      "CAP CER 0.1UF 10V X5R 0402"                                                                                                                      
C100nf_6   C0402C104K8PACTU      TopLayer    FP-C0402-BB-MFG               23.5000mm    10.7500mm    0        "CAP CER 0.1UF 10V X5R 0402"                                                                                                                      
R8_LED     CRCW06032K00FKEA      TopLayer    RESC1609X50X30ML10T20         1.2500mm     20.2500mm    0        ""                                                                                                                                                
R7_LED     CRCW06032K00FKEA      TopLayer    RESC1609X50X30ML10T20         -3.5000mm    24.2500mm    0        ""                                                                                                                                                
R6_LED     CRCW06032K00FKEA      TopLayer    RESC1609X50X30ML10T20         -3.5000mm    26.2500mm    0        ""                                                                                                                                                
R10K_1     CRCW060310K0FKEA      TopLayer    RESC1609X50X30NL8T20          25.0000mm    15.5000mm    0        "Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                
C2.2nf_1   GRM188R71H222KA01D    TopLayer    CAPC1608X90X35NL10T15         14.2500mm    25.8250mm    270      "Chip Capacitor, 2.2 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                 
