Altium Designer Pick and Place Locations
C:\Users\awright\Desktop\FlightController\Project\FlightController\Project Outputs for FlightController\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       03/05/23
Time:       19:25
Revision:   3ad72a8efe4f036ad507f36bba1914e93fe72706
Variant:    No variations
Units used: mil

Designator Comment               Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                       
J2         TC2030-CTX-NL         TopLayer    FP-TC2030-CTX-NL-MFG          157.480       255.906       90       "6-Pin “No legs” TC2030 Plug-of-Nails™ Cable for use with ARM Cortex processors"                                                                  
U1         STM32F722RET6         TopLayer    FP-LQFP64-5W-IPC_A            1043.307      846.456       180      "IC MCU 32BIT 512KB FLASH 64LQFP"                                                                                                                 
D?         BAT54C,215            TopLayer    FP-SOT23-MFG                  1732.283      944.882       0        "DIODE ARRAY SCHOTTKY 30V SOT23"                                                                                                                  
C100nf_7   C0402C104K8PACTU      TopLayer    FP-C0402-BB-MFG               1348.424      925.197       270      "CAP CER 0.1UF 10V X5R 0402"                                                                                                                      
C100nf_6   C0402C104K8PACTU      TopLayer    FP-C0402-BB-MFG               1358.267      698.818       0        "CAP CER 0.1UF 10V X5R 0402"                                                                                                                      
R8_LED     CRCW06032K00FKEA      TopLayer    RESC1609X50X30ML10T20         482.284       1072.834      0        ""                                                                                                                                                
R7_LED     CRCW06032K00FKEA      TopLayer    RESC1609X50X30ML10T20         295.275       1230.314      0        ""                                                                                                                                                
R6_LED     CRCW06032K00FKEA      TopLayer    RESC1609X50X30ML10T20         295.276       1309.054      0        ""                                                                                                                                                
R10K_1     CRCW060310K0FKEA      TopLayer    RESC1609X50X30NL8T20          1417.324      885.826       0        "Chip Resistor, 10 KOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                
C2.2nf_1   GRM188R71H222KA01D    TopLayer    CAPC1608X90X35NL10T15         994.095       1292.323      270      "Chip Capacitor, 2.2 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                 
R150_1     CRCW0603150RFKEA      TopLayer    FP-CRCW0603-e3-MFG            614.530       935.034       0        "RES Thick Film, 150O, 1%, 0.1W, 100ppm/°C, 0603"                                                                                                 
C10uf_3    GRM188R60J106ME47D    TopLayer    FP-GRM188-0_1-e0_2_0_55-IPC_A 1791.339      354.331       270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V"                                                         
SW1        B3U-1000P-B           TopLayer    FP-B3U-1000P-B-MFG            157.479       610.236       180      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                                                
R2.2K_2    CRCW06032K20FKEA      TopLayer    RESC1609X50X30NL10T20         1200.789      413.386       0        ""                                                                                                                                                
R2.2K_1    CRCW06032K20FKEA      TopLayer    RESC1609X50X30NL10T20         1131.889      364.173       0        ""                                                                                                                                                
